algorithm,graph_id,nodes,edges,density,source,target,path_cost,runtime_ms,success,graph_source,run_type,expanded_nodes,edge_examinations,relaxations,path_evaluations,peak_memory_kb,seed,hmcr,par,hms,iterations
dijkstra,v50_sparse_seed11,50,86,sparse,0,49,116.0,0.0284,True,synthetic,timing,21,80,,,,,,,,
dijkstra,v50_sparse_seed11,50,86,sparse,0,49,116.0,0.0185,True,synthetic,timing,21,80,,,,,,,,
dijkstra,v50_sparse_seed11,50,86,sparse,0,49,116.0,0.016,True,synthetic,timing,21,80,,,,,,,,
dijkstra,v50_sparse_seed11,50,86,sparse,0,49,116.0,0.0559,True,synthetic,timing,21,80,,,,,,,,
dijkstra,v50_sparse_seed11,50,86,sparse,0,49,116.0,0.0192,True,synthetic,timing,21,80,,,,,,,,
dijkstra,v50_sparse_seed11,50,86,sparse,0,49,116.0,0.0592,True,synthetic,memory,21,80,,,4.172,,,,,
bellman_ford,v50_sparse_seed11,50,86,sparse,0,49,116.0,0.1492,True,synthetic,timing,,860,99,,,,,,,
bellman_ford,v50_sparse_seed11,50,86,sparse,0,49,116.0,0.1252,True,synthetic,timing,,860,99,,,,,,,
bellman_ford,v50_sparse_seed11,50,86,sparse,0,49,116.0,0.1206,True,synthetic,timing,,860,99,,,,,,,
bellman_ford,v50_sparse_seed11,50,86,sparse,0,49,116.0,0.1245,True,synthetic,timing,,860,99,,,,,,,
bellman_ford,v50_sparse_seed11,50,86,sparse,0,49,116.0,0.12,True,synthetic,timing,,860,99,,,,,,,
bellman_ford,v50_sparse_seed11,50,86,sparse,0,49,116.0,0.667,True,synthetic,memory,,860,99,,13.117,,,,,
astar,v50_sparse_seed11,50,86,sparse,0,49,116.0,0.0255,True,synthetic,timing,21,80,,,,,,,,
astar,v50_sparse_seed11,50,86,sparse,0,49,116.0,0.0182,True,synthetic,timing,21,80,,,,,,,,
astar,v50_sparse_seed11,50,86,sparse,0,49,116.0,0.0169,True,synthetic,timing,21,80,,,,,,,,
astar,v50_sparse_seed11,50,86,sparse,0,49,116.0,0.0164,True,synthetic,timing,21,80,,,,,,,,
astar,v50_sparse_seed11,50,86,sparse,0,49,116.0,0.0163,True,synthetic,timing,21,80,,,,,,,,
astar,v50_sparse_seed11,50,86,sparse,0,49,116.0,0.0449,True,synthetic,memory,21,80,,,4.336,,,,,
harmony_search,v50_sparse_seed11,50,86,sparse,0,49,116,4.8363,True,synthetic,timing,,,,279,,11000,0.8,0.3,30,250
harmony_search,v50_sparse_seed11,50,86,sparse,0,49,116,4.9387,True,synthetic,timing,,,,280,,11001,0.8,0.3,30,250
harmony_search,v50_sparse_seed11,50,86,sparse,0,49,116,5.0171,True,synthetic,timing,,,,280,,11002,0.8,0.3,30,250
harmony_search,v50_sparse_seed11,50,86,sparse,0,49,116,5.4721,True,synthetic,timing,,,,280,,11003,0.8,0.3,30,250
harmony_search,v50_sparse_seed11,50,86,sparse,0,49,116,5.4078,True,synthetic,timing,,,,280,,11004,0.8,0.3,30,250
harmony_search,v50_sparse_seed11,50,86,sparse,0,49,116,5.1644,True,synthetic,timing,,,,279,,11005,0.8,0.3,30,250
harmony_search,v50_sparse_seed11,50,86,sparse,0,49,116,5.1929,True,synthetic,timing,,,,280,,11006,0.8,0.3,30,250
harmony_search,v50_sparse_seed11,50,86,sparse,0,49,116,4.8526,True,synthetic,timing,,,,279,,11007,0.8,0.3,30,250
harmony_search,v50_sparse_seed11,50,86,sparse,0,49,116,5.118,True,synthetic,timing,,,,280,,11008,0.8,0.3,30,250
harmony_search,v50_sparse_seed11,50,86,sparse,0,49,116,4.8534,True,synthetic,timing,,,,280,,11009,0.8,0.3,30,250
harmony_search,v50_sparse_seed11,50,86,sparse,0,49,116,4.8733,True,synthetic,timing,,,,279,,11010,0.8,0.3,30,250
harmony_search,v50_sparse_seed11,50,86,sparse,0,49,116,5.6036,True,synthetic,timing,,,,280,,11011,0.8,0.3,30,250
harmony_search,v50_sparse_seed11,50,86,sparse,0,49,116,5.3343,True,synthetic,timing,,,,279,,11012,0.8,0.3,30,250
harmony_search,v50_sparse_seed11,50,86,sparse,0,49,116,5.3033,True,synthetic,timing,,,,280,,11013,0.8,0.3,30,250
harmony_search,v50_sparse_seed11,50,86,sparse,0,49,116,5.224,True,synthetic,timing,,,,280,,11014,0.8,0.3,30,250
harmony_search,v50_sparse_seed11,50,86,sparse,0,49,116,5.0625,True,synthetic,timing,,,,280,,11015,0.8,0.3,30,250
harmony_search,v50_sparse_seed11,50,86,sparse,0,49,116,5.3276,True,synthetic,timing,,,,279,,11016,0.8,0.3,30,250
harmony_search,v50_sparse_seed11,50,86,sparse,0,49,116,4.5317,True,synthetic,timing,,,,280,,11017,0.8,0.3,30,250
harmony_search,v50_sparse_seed11,50,86,sparse,0,49,116,5.3194,True,synthetic,timing,,,,280,,11018,0.8,0.3,30,250
harmony_search,v50_sparse_seed11,50,86,sparse,0,49,116,4.753,True,synthetic,timing,,,,280,,11019,0.8,0.3,30,250
harmony_search,v50_sparse_seed11,50,86,sparse,0,49,116,4.9851,True,synthetic,timing,,,,280,,11020,0.8,0.3,30,250
harmony_search,v50_sparse_seed11,50,86,sparse,0,49,116,5.6191,True,synthetic,timing,,,,280,,11021,0.8,0.3,30,250
harmony_search,v50_sparse_seed11,50,86,sparse,0,49,116,5.993,True,synthetic,timing,,,,280,,11022,0.8,0.3,30,250
harmony_search,v50_sparse_seed11,50,86,sparse,0,49,116,5.2285,True,synthetic,timing,,,,280,,11023,0.8,0.3,30,250
harmony_search,v50_sparse_seed11,50,86,sparse,0,49,116,5.013,True,synthetic,timing,,,,280,,11024,0.8,0.3,30,250
harmony_search,v50_sparse_seed11,50,86,sparse,0,49,116,5.2254,True,synthetic,timing,,,,279,,11025,0.8,0.3,30,250
harmony_search,v50_sparse_seed11,50,86,sparse,0,49,116,5.1437,True,synthetic,timing,,,,280,,11026,0.8,0.3,30,250
harmony_search,v50_sparse_seed11,50,86,sparse,0,49,116,5.4633,True,synthetic,timing,,,,280,,11027,0.8,0.3,30,250
harmony_search,v50_sparse_seed11,50,86,sparse,0,49,116,5.3674,True,synthetic,timing,,,,280,,11028,0.8,0.3,30,250
harmony_search,v50_sparse_seed11,50,86,sparse,0,49,116,4.9785,True,synthetic,timing,,,,280,,11029,0.8,0.3,30,250
harmony_search,v50_sparse_seed11,50,86,sparse,0,49,116,15.945,True,synthetic,memory,,,,279,21.539,11000,0.8,0.3,30,250
dijkstra,v50_sparse_seed23,50,98,sparse,0,49,106.0,0.0289,True,synthetic,timing,32,128,,,,,,,,
dijkstra,v50_sparse_seed23,50,98,sparse,0,49,106.0,0.0221,True,synthetic,timing,32,128,,,,,,,,
dijkstra,v50_sparse_seed23,50,98,sparse,0,49,106.0,0.0214,True,synthetic,timing,32,128,,,,,,,,
dijkstra,v50_sparse_seed23,50,98,sparse,0,49,106.0,0.0208,True,synthetic,timing,32,128,,,,,,,,
dijkstra,v50_sparse_seed23,50,98,sparse,0,49,106.0,0.0212,True,synthetic,timing,32,128,,,,,,,,
dijkstra,v50_sparse_seed23,50,98,sparse,0,49,106.0,0.0523,True,synthetic,memory,32,128,,,5.812,,,,,
bellman_ford,v50_sparse_seed23,50,98,sparse,0,49,106.0,0.1446,True,synthetic,timing,,980,82,,,,,,,
bellman_ford,v50_sparse_seed23,50,98,sparse,0,49,106.0,0.1369,True,synthetic,timing,,980,82,,,,,,,
bellman_ford,v50_sparse_seed23,50,98,sparse,0,49,106.0,0.1345,True,synthetic,timing,,980,82,,,,,,,
bellman_ford,v50_sparse_seed23,50,98,sparse,0,49,106.0,0.2124,True,synthetic,timing,,980,82,,,,,,,
bellman_ford,v50_sparse_seed23,50,98,sparse,0,49,106.0,0.1358,True,synthetic,timing,,980,82,,,,,,,
bellman_ford,v50_sparse_seed23,50,98,sparse,0,49,106.0,0.7623,True,synthetic,memory,,980,82,,13.055,,,,,
astar,v50_sparse_seed23,50,98,sparse,0,49,106.0,0.0269,True,synthetic,timing,32,128,,,,,,,,
astar,v50_sparse_seed23,50,98,sparse,0,49,106.0,0.0233,True,synthetic,timing,32,128,,,,,,,,
astar,v50_sparse_seed23,50,98,sparse,0,49,106.0,0.0227,True,synthetic,timing,32,128,,,,,,,,
astar,v50_sparse_seed23,50,98,sparse,0,49,106.0,0.0225,True,synthetic,timing,32,128,,,,,,,,
astar,v50_sparse_seed23,50,98,sparse,0,49,106.0,0.0224,True,synthetic,timing,32,128,,,,,,,,
astar,v50_sparse_seed23,50,98,sparse,0,49,106.0,0.0566,True,synthetic,memory,32,128,,,6.0,,,,,
harmony_search,v50_sparse_seed23,50,98,sparse,0,49,106,4.8918,True,synthetic,timing,,,,280,,23000,0.8,0.3,30,250
harmony_search,v50_sparse_seed23,50,98,sparse,0,49,106,4.8336,True,synthetic,timing,,,,280,,23001,0.8,0.3,30,250
harmony_search,v50_sparse_seed23,50,98,sparse,0,49,106,4.6986,True,synthetic,timing,,,,280,,23002,0.8,0.3,30,250
harmony_search,v50_sparse_seed23,50,98,sparse,0,49,106,5.5364,True,synthetic,timing,,,,280,,23003,0.8,0.3,30,250
harmony_search,v50_sparse_seed23,50,98,sparse,0,49,106,5.0396,True,synthetic,timing,,,,280,,23004,0.8,0.3,30,250
harmony_search,v50_sparse_seed23,50,98,sparse,0,49,106,4.6106,True,synthetic,timing,,,,280,,23005,0.8,0.3,30,250
harmony_search,v50_sparse_seed23,50,98,sparse,0,49,106,6.6271,True,synthetic,timing,,,,280,,23006,0.8,0.3,30,250
harmony_search,v50_sparse_seed23,50,98,sparse,0,49,106,4.9521,True,synthetic,timing,,,,280,,23007,0.8,0.3,30,250
harmony_search,v50_sparse_seed23,50,98,sparse,0,49,106,4.3576,True,synthetic,timing,,,,280,,23008,0.8,0.3,30,250
harmony_search,v50_sparse_seed23,50,98,sparse,0,49,106,5.0472,True,synthetic,timing,,,,280,,23009,0.8,0.3,30,250
harmony_search,v50_sparse_seed23,50,98,sparse,0,49,106,4.9701,True,synthetic,timing,,,,280,,23010,0.8,0.3,30,250
harmony_search,v50_sparse_seed23,50,98,sparse,0,49,106,5.0722,True,synthetic,timing,,,,280,,23011,0.8,0.3,30,250
harmony_search,v50_sparse_seed23,50,98,sparse,0,49,144,4.8783,True,synthetic,timing,,,,280,,23012,0.8,0.3,30,250
harmony_search,v50_sparse_seed23,50,98,sparse,0,49,106,5.1018,True,synthetic,timing,,,,280,,23013,0.8,0.3,30,250
harmony_search,v50_sparse_seed23,50,98,sparse,0,49,106,4.562,True,synthetic,timing,,,,280,,23014,0.8,0.3,30,250
harmony_search,v50_sparse_seed23,50,98,sparse,0,49,106,4.7292,True,synthetic,timing,,,,280,,23015,0.8,0.3,30,250
harmony_search,v50_sparse_seed23,50,98,sparse,0,49,106,4.4367,True,synthetic,timing,,,,280,,23016,0.8,0.3,30,250
harmony_search,v50_sparse_seed23,50,98,sparse,0,49,106,5.2292,True,synthetic,timing,,,,280,,23017,0.8,0.3,30,250
harmony_search,v50_sparse_seed23,50,98,sparse,0,49,106,5.1209,True,synthetic,timing,,,,280,,23018,0.8,0.3,30,250
harmony_search,v50_sparse_seed23,50,98,sparse,0,49,106,4.8605,True,synthetic,timing,,,,280,,23019,0.8,0.3,30,250
harmony_search,v50_sparse_seed23,50,98,sparse,0,49,106,4.5942,True,synthetic,timing,,,,280,,23020,0.8,0.3,30,250
harmony_search,v50_sparse_seed23,50,98,sparse,0,49,106,4.5883,True,synthetic,timing,,,,280,,23021,0.8,0.3,30,250
harmony_search,v50_sparse_seed23,50,98,sparse,0,49,106,5.3561,True,synthetic,timing,,,,280,,23022,0.8,0.3,30,250
harmony_search,v50_sparse_seed23,50,98,sparse,0,49,106,4.6981,True,synthetic,timing,,,,280,,23023,0.8,0.3,30,250
harmony_search,v50_sparse_seed23,50,98,sparse,0,49,106,4.8877,True,synthetic,timing,,,,280,,23024,0.8,0.3,30,250
harmony_search,v50_sparse_seed23,50,98,sparse,0,49,106,4.9593,True,synthetic,timing,,,,280,,23025,0.8,0.3,30,250
harmony_search,v50_sparse_seed23,50,98,sparse,0,49,106,4.9155,True,synthetic,timing,,,,280,,23026,0.8,0.3,30,250
harmony_search,v50_sparse_seed23,50,98,sparse,0,49,106,4.3337,True,synthetic,timing,,,,280,,23027,0.8,0.3,30,250
harmony_search,v50_sparse_seed23,50,98,sparse,0,49,106,4.6667,True,synthetic,timing,,,,280,,23028,0.8,0.3,30,250
harmony_search,v50_sparse_seed23,50,98,sparse,0,49,106,4.8377,True,synthetic,timing,,,,280,,23029,0.8,0.3,30,250
harmony_search,v50_sparse_seed23,50,98,sparse,0,49,106,16.656,True,synthetic,memory,,,,280,23.945,23000,0.8,0.3,30,250
dijkstra,v50_sparse_seed37,50,89,sparse,0,49,114.0,0.0259,True,synthetic,timing,22,87,,,,,,,,
dijkstra,v50_sparse_seed37,50,89,sparse,0,49,114.0,0.0418,True,synthetic,timing,22,87,,,,,,,,
dijkstra,v50_sparse_seed37,50,89,sparse,0,49,114.0,0.0349,True,synthetic,timing,22,87,,,,,,,,
dijkstra,v50_sparse_seed37,50,89,sparse,0,49,114.0,0.0168,True,synthetic,timing,22,87,,,,,,,,
dijkstra,v50_sparse_seed37,50,89,sparse,0,49,114.0,0.0156,True,synthetic,timing,22,87,,,,,,,,
dijkstra,v50_sparse_seed37,50,89,sparse,0,49,114.0,0.0459,True,synthetic,memory,22,87,,,4.094,,,,,
bellman_ford,v50_sparse_seed37,50,89,sparse,0,49,114.0,0.1191,True,synthetic,timing,,712,90,,,,,,,
bellman_ford,v50_sparse_seed37,50,89,sparse,0,49,114.0,0.1219,True,synthetic,timing,,712,90,,,,,,,
bellman_ford,v50_sparse_seed37,50,89,sparse,0,49,114.0,0.1093,True,synthetic,timing,,712,90,,,,,,,
bellman_ford,v50_sparse_seed37,50,89,sparse,0,49,114.0,0.1073,True,synthetic,timing,,712,90,,,,,,,
bellman_ford,v50_sparse_seed37,50,89,sparse,0,49,114.0,0.1079,True,synthetic,timing,,712,90,,,,,,,
bellman_ford,v50_sparse_seed37,50,89,sparse,0,49,114.0,0.5138,True,synthetic,memory,,712,90,,13.055,,,,,
astar,v50_sparse_seed37,50,89,sparse,0,49,114.0,0.02,True,synthetic,timing,22,87,,,,,,,,
astar,v50_sparse_seed37,50,89,sparse,0,49,114.0,0.0172,True,synthetic,timing,22,87,,,,,,,,
astar,v50_sparse_seed37,50,89,sparse,0,49,114.0,0.0164,True,synthetic,timing,22,87,,,,,,,,
astar,v50_sparse_seed37,50,89,sparse,0,49,114.0,0.0268,True,synthetic,timing,22,87,,,,,,,,
astar,v50_sparse_seed37,50,89,sparse,0,49,114.0,0.0166,True,synthetic,timing,22,87,,,,,,,,
astar,v50_sparse_seed37,50,89,sparse,0,49,114.0,0.0441,True,synthetic,memory,22,87,,,4.258,,,,,
harmony_search,v50_sparse_seed37,50,89,sparse,0,49,114,7.332,True,synthetic,timing,,,,279,,37000,0.8,0.3,30,250
harmony_search,v50_sparse_seed37,50,89,sparse,0,49,114,7.6705,True,synthetic,timing,,,,279,,37001,0.8,0.3,30,250
harmony_search,v50_sparse_seed37,50,89,sparse,0,49,114,7.2866,True,synthetic,timing,,,,278,,37002,0.8,0.3,30,250
harmony_search,v50_sparse_seed37,50,89,sparse,0,49,114,6.9965,True,synthetic,timing,,,,278,,37003,0.8,0.3,30,250
harmony_search,v50_sparse_seed37,50,89,sparse,0,49,114,6.5263,True,synthetic,timing,,,,280,,37004,0.8,0.3,30,250
harmony_search,v50_sparse_seed37,50,89,sparse,0,49,114,8.8561,True,synthetic,timing,,,,278,,37005,0.8,0.3,30,250
