algorithm,graph_id,nodes,edges,density,source,target,path_cost,runtime_ms,success,graph_source,run_type,expanded_nodes,edge_examinations,relaxations,path_evaluations,peak_memory_kb,seed,hmcr,par,hms,iterations
dijkstra,snap_facebook_sample4039,4039,88234,social,107,855,68.0,15.5873,True,snap:facebook,timing,3812,175295,,,,,,,,
dijkstra,snap_facebook_sample4039,4039,88234,social,107,855,68.0,16.7325,True,snap:facebook,timing,3812,175295,,,,,,,,
dijkstra,snap_facebook_sample4039,4039,88234,social,107,855,68.0,16.6809,True,snap:facebook,timing,3812,175295,,,,,,,,
dijkstra,snap_facebook_sample4039,4039,88234,social,107,855,68.0,73.1164,True,snap:facebook,memory,3812,175295,,,832.523,,,,,
bellman_ford,snap_facebook_sample4039,4039,88234,social,107,855,68.0,234.6004,True,snap:facebook,timing,,1764680,18610,,,,,,,
bellman_ford,snap_facebook_sample4039,4039,88234,social,107,855,68.0,226.5892,True,snap:facebook,timing,,1764680,18610,,,,,,,
bellman_ford,snap_facebook_sample4039,4039,88234,social,107,855,68.0,226.3001,True,snap:facebook,timing,,1764680,18610,,,,,,,
bellman_ford,snap_facebook_sample4039,4039,88234,social,107,855,68.0,2044.2321,True,snap:facebook,memory,,1764680,18610,,17085.547,,,,,
astar,snap_facebook_sample4039,4039,88234,social,107,855,68.0,16.9965,True,snap:facebook,timing,3812,175295,,,,,,,,
astar,snap_facebook_sample4039,4039,88234,social,107,855,68.0,17.096,True,snap:facebook,timing,3812,175295,,,,,,,,
astar,snap_facebook_sample4039,4039,88234,social,107,855,68.0,16.1307,True,snap:facebook,timing,3812,175295,,,,,,,,
astar,snap_facebook_sample4039,4039,88234,social,107,855,68.0,85.1915,True,snap:facebook,memory,3812,175295,,,1021.227,,,,,
harmony_search,snap_facebook_sample4039,4039,88234,social,107,855,97,5899.2672,True,snap:facebook,timing,,,,251,,7000000,0.8,0.3,30,250
harmony_search,snap_facebook_sample4039,4039,88234,social,107,855,97,5737.1869,True,snap:facebook,timing,,,,251,,7000001,0.8,0.3,30,250
harmony_search,snap_facebook_sample4039,4039,88234,social,107,855,97,6076.0706,True,snap:facebook,timing,,,,251,,7000002,0.8,0.3,30,250
harmony_search,snap_facebook_sample4039,4039,88234,social,107,855,97,5821.969,True,snap:facebook,timing,,,,251,,7000003,0.8,0.3,30,250
harmony_search,snap_facebook_sample4039,4039,88234,social,107,855,97,5895.5069,True,snap:facebook,timing,,,,251,,7000004,0.8,0.3,30,250
harmony_search,snap_facebook_sample4039,4039,88234,social,107,855,97,5771.0135,True,snap:facebook,timing,,,,251,,7000005,0.8,0.3,30,250
harmony_search,snap_facebook_sample4039,4039,88234,social,107,855,97,5914.2583,True,snap:facebook,timing,,,,251,,7000006,0.8,0.3,30,250
harmony_search,snap_facebook_sample4039,4039,88234,social,107,855,97,5911.2398,True,snap:facebook,timing,,,,251,,7000007,0.8,0.3,30,250
harmony_search,snap_facebook_sample4039,4039,88234,social,107,855,97,5987.7356,True,snap:facebook,timing,,,,251,,7000008,0.8,0.3,30,250
harmony_search,snap_facebook_sample4039,4039,88234,social,107,855,97,5800.2508,True,snap:facebook,timing,,,,251,,7000009,0.8,0.3,30,250
harmony_search,snap_facebook_sample4039,4039,88234,social,107,855,97,9500.4963,True,snap:facebook,memory,,,,251,272.828,7000000,0.8,0.3,30,250
dijkstra,snap_oregon1_sample8000,8000,18074,internet,701,2610,131.0,10.6457,True,snap:oregon1,timing,7975,36120,,,,,,,,
dijkstra,snap_oregon1_sample8000,8000,18074,internet,701,2610,131.0,9.1461,True,snap:oregon1,timing,7975,36120,,,,,,,,
dijkstra,snap_oregon1_sample8000,8000,18074,internet,701,2610,131.0,9.7444,True,snap:oregon1,timing,7975,36120,,,,,,,,
dijkstra,snap_oregon1_sample8000,8000,18074,internet,701,2610,131.0,32.2821,True,snap:oregon1,memory,7975,36120,,,1304.016,,,,,
bellman_ford,snap_oregon1_sample8000,8000,18074,internet,701,2610,131.0,33.0798,True,snap:oregon1,timing,,216888,15608,,,,,,,
