algorithm,graph_id,nodes,edges,density,source,target,path_cost,runtime_ms,success,graph_source,run_type,expanded_nodes,edge_examinations,relaxations,path_evaluations,peak_memory_kb,seed,hmcr,par,hms,iterations
dijkstra,v20_sparse_seed11,20,25,sparse,0,19,146.0,0.0204,True,synthetic,timing,19,48,,,,,,,,
dijkstra,v20_sparse_seed11,20,25,sparse,0,19,146.0,0.0119,True,synthetic,timing,19,48,,,,,,,,
dijkstra,v20_sparse_seed11,20,25,sparse,0,19,146.0,0.046,True,synthetic,memory,19,48,,,2.523,,,,,
bellman_ford,v20_sparse_seed11,20,25,sparse,0,19,146.0,0.0338,True,synthetic,timing,,100,22,,,,,,,
bellman_ford,v20_sparse_seed11,20,25,sparse,0,19,146.0,0.0262,True,synthetic,timing,,100,22,,,,,,,
bellman_ford,v20_sparse_seed11,20,25,sparse,0,19,146.0,0.1236,True,synthetic,memory,,100,22,,3.555,,,,,
astar,v20_sparse_seed11,20,25,sparse,0,19,146.0,0.0171,True,synthetic,timing,19,48,,,,,,,,
astar,v20_sparse_seed11,20,25,sparse,0,19,146.0,0.0121,True,synthetic,timing,19,48,,,,,,,,
astar,v20_sparse_seed11,20,25,sparse,0,19,146.0,0.0391,True,synthetic,memory,19,48,,,1.875,,,,,
harmony_search,v20_sparse_seed11,20,25,sparse,0,19,146,1.3351,True,synthetic,timing,,,,106,,11000,0.8,0.3,30,80
harmony_search,v20_sparse_seed11,20,25,sparse,0,19,146,1.6546,True,synthetic,timing,,,,107,,11001,0.8,0.3,30,80
harmony_search,v20_sparse_seed11,20,25,sparse,0,19,146,1.4756,True,synthetic,timing,,,,108,,11002,0.8,0.3,30,80
harmony_search,v20_sparse_seed11,20,25,sparse,0,19,146,4.7898,True,synthetic,memory,,,,106,13.273,11000,0.8,0.3,30,80
dijkstra,v20_sparse_seed23,20,26,sparse,0,19,83.0,0.0111,True,synthetic,timing,11,33,,,,,,,,
dijkstra,v20_sparse_seed23,20,26,sparse,0,19,83.0,0.0074,True,synthetic,timing,11,33,,,,,,,,
dijkstra,v20_sparse_seed23,20,26,sparse,0,19,83.0,0.0216,True,synthetic,memory,11,33,,,1.625,,,,,
bellman_ford,v20_sparse_seed23,20,26,sparse,0,19,83.0,0.0287,True,synthetic,timing,,104,20,,,,,,,
bellman_ford,v20_sparse_seed23,20,26,sparse,0,19,83.0,0.0246,True,synthetic,timing,,104,20,,,,,,,
bellman_ford,v20_sparse_seed23,20,26,sparse,0,19,83.0,0.1252,True,synthetic,memory,,104,20,,3.555,,,,,
astar,v20_sparse_seed23,20,26,sparse,0,19,83.0,0.0094,True,synthetic,timing,11,33,,,,,,,,
astar,v20_sparse_seed23,20,26,sparse,0,19,83.0,0.0074,True,synthetic,timing,11,33,,,,,,,,
astar,v20_sparse_seed23,20,26,sparse,0,19,83.0,0.0235,True,synthetic,memory,11,33,,,1.789,,,,,
harmony_search,v20_sparse_seed23,20,26,sparse,0,19,83,0.7328,True,synthetic,timing,,,,110,,23000,0.8,0.3,30,80
harmony_search,v20_sparse_seed23,20,26,sparse,0,19,83,0.9729,True,synthetic,timing,,,,110,,23001,0.8,0.3,30,80
harmony_search,v20_sparse_seed23,20,26,sparse,0,19,83,0.8877,True,synthetic,timing,,,,110,,23002,0.8,0.3,30,80
harmony_search,v20_sparse_seed23,20,26,sparse,0,19,83,2.5365,True,synthetic,memory,,,,110,11.266,23000,0.8,0.3,30,80
dijkstra,v20_moderate_seed11,20,41,moderate,0,19,129.0,0.0157,True,synthetic,timing,20,79,,,,,,,,
dijkstra,v20_moderate_seed11,20,41,moderate,0,19,129.0,0.0125,True,synthetic,timing,20,79,,,,,,,,
dijkstra,v20_moderate_seed11,20,41,moderate,0,19,129.0,0.0321,True,synthetic,memory,20,79,,,1.688,,,,,
bellman_ford,v20_moderate_seed11,20,41,moderate,0,19,129.0,0.0559,True,synthetic,timing,,328,39,,,,,,,
bellman_ford,v20_moderate_seed11,20,41,moderate,0,19,129.0,0.0514,True,synthetic,timing,,328,39,,,,,,,
bellman_ford,v20_moderate_seed11,20,41,moderate,0,19,129.0,0.273,True,synthetic,memory,,328,39,,3.555,,,,,
astar,v20_moderate_seed11,20,41,moderate,0,19,129.0,0.0159,True,synthetic,timing,20,79,,,,,,,,
astar,v20_moderate_seed11,20,41,moderate,0,19,129.0,0.0136,True,synthetic,timing,20,79,,,,,,,,
astar,v20_moderate_seed11,20,41,moderate,0,19,129.0,0.0361,True,synthetic,memory,20,79,,,1.852,,,,,
