algorithm,graph_id,nodes,edges,density,source,target,path_cost,runtime_ms,success,seed,hmcr,par,hms,iterations
dijkstra,v20_sparse_seed11,20,25,sparse,0,19,146.0,0.0233,True,,,,,
dijkstra,v20_sparse_seed11,20,25,sparse,0,19,146.0,0.013,True,,,,,
bellman_ford,v20_sparse_seed11,20,25,sparse,0,19,146.0,0.034,True,,,,,
bellman_ford,v20_sparse_seed11,20,25,sparse,0,19,146.0,0.0267,True,,,,,
astar,v20_sparse_seed11,20,25,sparse,0,19,146.0,0.0157,True,,,,,
astar,v20_sparse_seed11,20,25,sparse,0,19,146.0,0.0119,True,,,,,
harmony_search,v20_sparse_seed11,20,25,sparse,0,19,146,3.0605,True,11000,0.8,0.3,30,80
harmony_search,v20_sparse_seed11,20,25,sparse,0,19,146,3.4992,True,11001,0.8,0.3,30,80
harmony_search,v20_sparse_seed11,20,25,sparse,0,19,146,2.2617,True,11002,0.8,0.3,30,80
dijkstra,v20_sparse_seed23,20,26,sparse,0,19,83.0,0.0124,True,,,,,
dijkstra,v20_sparse_seed23,20,26,sparse,0,19,83.0,0.0078,True,,,,,
bellman_ford,v20_sparse_seed23,20,26,sparse,0,19,83.0,0.0286,True,,,,,
bellman_ford,v20_sparse_seed23,20,26,sparse,0,19,83.0,0.0243,True,,,,,
astar,v20_sparse_seed23,20,26,sparse,0,19,83.0,0.0089,True,,,,,
astar,v20_sparse_seed23,20,26,sparse,0,19,83.0,0.0071,True,,,,,
harmony_search,v20_sparse_seed23,20,26,sparse,0,19,83,0.9918,True,23000,0.8,0.3,30,80
harmony_search,v20_sparse_seed23,20,26,sparse,0,19,83,1.5901,True,23001,0.8,0.3,30,80
harmony_search,v20_sparse_seed23,20,26,sparse,0,19,83,1.5477,True,23002,0.8,0.3,30,80
dijkstra,v20_moderate_seed11,20,41,moderate,0,19,129.0,0.0157,True,,,,,
dijkstra,v20_moderate_seed11,20,41,moderate,0,19,129.0,0.0128,True,,,,,
bellman_ford,v20_moderate_seed11,20,41,moderate,0,19,129.0,0.0521,True,,,,,
bellman_ford,v20_moderate_seed11,20,41,moderate,0,19,129.0,0.0482,True,,,,,
astar,v20_moderate_seed11,20,41,moderate,0,19,129.0,0.0145,True,,,,,
astar,v20_moderate_seed11,20,41,moderate,0,19,129.0,0.0129,True,,,,,
harmony_search,v20_moderate_seed11,20,41,moderate,0,19,129,4.3309,True,11000,0.8,0.3,30,80
harmony_search,v20_moderate_seed11,20,41,moderate,0,19,129,3.9512,True,11001,0.8,0.3,30,80
harmony_search,v20_moderate_seed11,20,41,moderate,0,19,129,3.3951,True,11002,0.8,0.3,30,80
dijkstra,v20_moderate_seed23,20,39,moderate,0,19,60.0,0.01,True,,,,,
dijkstra,v20_moderate_seed23,20,39,moderate,0,19,60.0,0.0077,True,,,,,
bellman_ford,v20_moderate_seed23,20,39,moderate,0,19,60.0,0.0374,True,,,,,
bellman_ford,v20_moderate_seed23,20,39,moderate,0,19,60.0,0.0338,True,,,,,
astar,v20_moderate_seed23,20,39,moderate,0,19,60.0,0.009,True,,,,,
astar,v20_moderate_seed23,20,39,moderate,0,19,60.0,0.008,True,,,,,
harmony_search,v20_moderate_seed23,20,39,moderate,0,19,60,2.2224,True,23000,0.8,0.3,30,80
harmony_search,v20_moderate_seed23,20,39,moderate,0,19,60,1.8945,True,23001,0.8,0.3,30,80
harmony_search,v20_moderate_seed23,20,39,moderate,0,19,60,2.824,True,23002,0.8,0.3,30,80
dijkstra,v50_sparse_seed11,50,86,sparse,0,49,116.0,0.0209,True,,,,,
dijkstra,v50_sparse_seed11,50,86,sparse,0,49,116.0,0.0173,True,,,,,
bellman_ford,v50_sparse_seed11,50,86,sparse,0,49,116.0,0.1206,True,,,,,
bellman_ford,v50_sparse_seed11,50,86,sparse,0,49,116.0,0.1179,True,,,,,
astar,v50_sparse_seed11,50,86,sparse,0,49,116.0,0.0193,True,,,,,
astar,v50_sparse_seed11,50,86,sparse,0,49,116.0,0.017,True,,,,,
harmony_search,v50_sparse_seed11,50,86,sparse,0,49,116,4.6103,True,11000,0.8,0.3,30,80
harmony_search,v50_sparse_seed11,50,86,sparse,0,49,116,3.8223,True,11001,0.8,0.3,30,80
harmony_search,v50_sparse_seed11,50,86,sparse,0,49,116,4.2269,True,11002,0.8,0.3,30,80
dijkstra,v50_sparse_seed23,50,98,sparse,0,49,106.0,0.0315,True,,,,,
dijkstra,v50_sparse_seed23,50,98,sparse,0,49,106.0,0.0224,True,,,,,
bellman_ford,v50_sparse_seed23,50,98,sparse,0,49,106.0,0.136,True,,,,,
bellman_ford,v50_sparse_seed23,50,98,sparse,0,49,106.0,0.1267,True,,,,,
astar,v50_sparse_seed23,50,98,sparse,0,49,106.0,0.0252,True,,,,,
astar,v50_sparse_seed23,50,98,sparse,0,49,106.0,0.0228,True,,,,,
harmony_search,v50_sparse_seed23,50,98,sparse,0,49,106,4.633,True,23000,0.8,0.3,30,80
harmony_search,v50_sparse_seed23,50,98,sparse,0,49,106,4.3126,True,23001,0.8,0.3,30,80
harmony_search,v50_sparse_seed23,50,98,sparse,0,49,106,4.2988,True,23002,0.8,0.3,30,80
dijkstra,v50_moderate_seed11,50,178,moderate,0,49,93.0,0.0492,True,,,,,
dijkstra,v50_moderate_seed11,50,178,moderate,0,49,93.0,0.0426,True,,,,,
bellman_ford,v50_moderate_seed11,50,178,moderate,0,49,93.0,0.2351,True,,,,,
